기준년월,광역지자체,방문자 구분,방문자 수
202101,강원특별자치도,현지인방문자(a),2.5769482E7
202101,강원특별자치도,외지인방문자(b),7250050.0
202101,강원특별자치도,외국인방문자(c),1784.0
202102,강원특별자치도,현지인방문자(a),2.4587672E7
202102,강원특별자치도,외지인방문자(b),8956532.0
202102,강원특별자치도,외국인방문자(c),1762.0
202103,강원특별자치도,현지인방문자(a),2.9234916E7
202103,강원특별자치도,외지인방문자(b),8870246.0
202103,강원특별자치도,외국인방문자(c),2569.0
202104,강원특별자치도,현지인방문자(a),2.8836941E7
202104,강원특별자치도,외지인방문자(b),9608966.0
202104,강원특별자치도,외국인방문자(c),2532.0
202105,강원특별자치도,현지인방문자(a),3.0342148E7
202105,강원특별자치도,외지인방문자(b),1.1261408E7
202105,강원특별자치도,외국인방문자(c),2117.0
202106,강원특별자치도,현지인방문자(a),3.0314378E7
202106,강원특별자치도,외지인방문자(b),1.062622E7
202106,강원특별자치도,외국인방문자(c),2342.0
202107,강원특별자치도,현지인방문자(a),3.0513182E7
202107,강원특별자치도,외지인방문자(b),1.3370077E7
202107,강원특별자치도,외국인방문자(c),3531.0
202108,강원특별자치도,현지인방문자(a),3.0721814E7
202108,강원특별자치도,외지인방문자(b),1.4466599E7
202108,강원특별자치도,외국인방문자(c),3224.0
202109,강원특별자치도,현지인방문자(a),3.0354656E7
202109,강원특별자치도,외지인방문자(b),1.2037798E7
202109,강원특별자치도,외국인방문자(c),3871.0
202110,강원특별자치도,현지인방문자(a),3.1921435E7
202110,강원특별자치도,외지인방문자(b),1.272895E7
202110,강원특별자치도,외국인방문자(c),3996.0
202111,강원특별자치도,현지인방문자(a),3.010771E7
202111,강원특별자치도,외지인방문자(b),1.0038665E7
202111,강원특별자치도,외국인방문자(c),3707.0
202112,강원특별자치도,현지인방문자(a),2.9351672E7
202112,강원특별자치도,외지인방문자(b),1.1006163E7
202112,강원특별자치도,외국인방문자(c),4135.0
202101,강원특별자치도,외부방문자(b+c),7251835.0
202102,강원특별자치도,외부방문자(b+c),8958293.0
202103,강원특별자치도,외부방문자(b+c),8872815.0
202104,강원특별자치도,외부방문자(b+c),9611498.0
202105,강원특별자치도,외부방문자(b+c),1.1263524E7
202106,강원특별자치도,외부방문자(b+c),1.0628562E7
202107,강원특별자치도,외부방문자(b+c),1.3373608E7
202108,강원특별자치도,외부방문자(b+c),1.4469823E7
202109,강원특별자치도,외부방문자(b+c),1.204167E7
202110,강원특별자치도,외부방문자(b+c),1.2732946E7
202111,강원특별자치도,외부방문자(b+c),1.0042372E7
202112,강원특별자치도,외부방문자(b+c),1.1010298E7
202101,강원특별자치도,전체방문자(a+b+c),3.3021316E7
202102,강원특별자치도,전체방문자(a+b+c),3.3545965E7
202103,강원특별자치도,전체방문자(a+b+c),3.810773E7
202104,강원특별자치도,전체방문자(a+b+c),3.8448439E7
202105,강원특별자치도,전체방문자(a+b+c),4.1605672E7
202106,강원특별자치도,전체방문자(a+b+c),4.0942941E7
202107,강원특별자치도,전체방문자(a+b+c),4.388679E7
202108,강원특별자치도,전체방문자(a+b+c),4.5191636E7
202109,강원특별자치도,전체방문자(a+b+c),4.2396326E7
202110,강원특별자치도,전체방문자(a+b+c),4.4654381E7
202111,강원특별자치도,전체방문자(a+b+c),4.0150082E7
202112,강원특별자치도,전체방문자(a+b+c),4.036197E7
