기준년월,광역지자체,방문자 구분,방문자 수
201801,강원특별자치도,현지인방문자(a),2.3443021E7
201801,강원특별자치도,외지인방문자(b),1.021637E7
201801,강원특별자치도,외국인방문자(c),94120.0
201802,강원특별자치도,현지인방문자(a),2.0969249E7
201802,강원특별자치도,외지인방문자(b),1.0286941E7
201802,강원특별자치도,외국인방문자(c),522952.0
201803,강원특별자치도,현지인방문자(a),2.4739536E7
201803,강원특별자치도,외지인방문자(b),9936948.0
201803,강원특별자치도,외국인방문자(c),118025.0
201804,강원특별자치도,현지인방문자(a),2.3742618E7
201804,강원특별자치도,외지인방문자(b),8943512.0
201804,강원특별자치도,외국인방문자(c),82891.0
201805,강원특별자치도,현지인방문자(a),2.6776344E7
201805,강원특별자치도,외지인방문자(b),1.1278176E7
201805,강원특별자치도,외국인방문자(c),63708.0
201806,강원특별자치도,현지인방문자(a),2.6073114E7
201806,강원특별자치도,외지인방문자(b),1.0604937E7
201806,강원특별자치도,외국인방문자(c),61905.0
201807,강원특별자치도,현지인방문자(a),2.5933106E7
201807,강원특별자치도,외지인방문자(b),1.3513748E7
201807,강원특별자치도,외국인방문자(c),84275.0
201808,강원특별자치도,현지인방문자(a),2.5369326E7
201808,강원특별자치도,외지인방문자(b),1.6743716E7
201808,강원특별자치도,외국인방문자(c),96423.0
201809,강원특별자치도,현지인방문자(a),2.4898902E7
201809,강원특별자치도,외지인방문자(b),1.2484538E7
201809,강원특별자치도,외국인방문자(c),99237.0
201810,강원특별자치도,현지인방문자(a),2.5857349E7
201810,강원특별자치도,외지인방문자(b),1.0899602E7
201810,강원특별자치도,외국인방문자(c),146339.0
201811,강원특별자치도,현지인방문자(a),2.5313866E7
201811,강원특별자치도,외지인방문자(b),8658990.0
201811,강원특별자치도,외국인방문자(c),118740.0
201812,강원특별자치도,현지인방문자(a),2.600073E7
201812,강원특별자치도,외지인방문자(b),9898154.0
201812,강원특별자치도,외국인방문자(c),188578.0
201801,강원특별자치도,외부방문자(b+c),1.031049E7
201802,강원특별자치도,외부방문자(b+c),1.0809893E7
201803,강원특별자치도,외부방문자(b+c),1.0054973E7
201804,강원특별자치도,외부방문자(b+c),9026403.0
201805,강원특별자치도,외부방문자(b+c),1.1341884E7
201806,강원특별자치도,외부방문자(b+c),1.0666842E7
201807,강원특별자치도,외부방문자(b+c),1.3598024E7
201808,강원특별자치도,외부방문자(b+c),1.684014E7
201809,강원특별자치도,외부방문자(b+c),1.2583775E7
201810,강원특별자치도,외부방문자(b+c),1.1045941E7
201811,강원특별자치도,외부방문자(b+c),8777729.0
201812,강원특별자치도,외부방문자(b+c),1.0086732E7
201801,강원특별자치도,전체방문자(a+b+c),3.3753511E7
201802,강원특별자치도,전체방문자(a+b+c),3.1779142E7
201803,강원특별자치도,전체방문자(a+b+c),3.4794509E7
201804,강원특별자치도,전체방문자(a+b+c),3.276902E7
201805,강원특별자치도,전체방문자(a+b+c),3.8118228E7
201806,강원특별자치도,전체방문자(a+b+c),3.6739956E7
201807,강원특별자치도,전체방문자(a+b+c),3.953113E7
201808,강원특별자치도,전체방문자(a+b+c),4.2209466E7
201809,강원특별자치도,전체방문자(a+b+c),3.7482677E7
201810,강원특별자치도,전체방문자(a+b+c),3.690329E7
201811,강원특별자치도,전체방문자(a+b+c),3.4091595E7
201812,강원특별자치도,전체방문자(a+b+c),3.6087462E7
