기준년월,광역지자체,방문자 구분,방문자 수
202001,강원특별자치도,현지인방문자(a),2.558352E7
202001,강원특별자치도,외지인방문자(b),1.3759644E7
202001,강원특별자치도,외국인방문자(c),14787.0
202002,강원특별자치도,현지인방문자(a),2.382414E7
202002,강원특별자치도,외지인방문자(b),8190966.0
202002,강원특별자치도,외국인방문자(c),8845.0
202003,강원특별자치도,현지인방문자(a),2.4424505E7
202003,강원특별자치도,외지인방문자(b),8454204.0
202003,강원특별자치도,외국인방문자(c),1624.0
202004,강원특별자치도,현지인방문자(a),2.3901157E7
202004,강원특별자치도,외지인방문자(b),8732654.0
202004,강원특별자치도,외국인방문자(c),1831.0
202005,강원특별자치도,현지인방문자(a),2.6153043E7
202005,강원특별자치도,외지인방문자(b),1.1470095E7
202005,강원특별자치도,외국인방문자(c),1630.0
202006,강원특별자치도,현지인방문자(a),2.702728E7
202006,강원특별자치도,외지인방문자(b),1.1480175E7
202006,강원특별자치도,외국인방문자(c),1577.0
202007,강원특별자치도,현지인방문자(a),2.8143528E7
202007,강원특별자치도,외지인방문자(b),1.4398377E7
202007,강원특별자치도,외국인방문자(c),1805.0
202008,강원특별자치도,현지인방문자(a),2.6274588E7
202008,강원특별자치도,외지인방문자(b),1.52971E7
202008,강원특별자치도,외국인방문자(c),2101.0
202009,강원특별자치도,현지인방문자(a),2.7504463E7
202009,강원특별자치도,외지인방문자(b),9350932.0
202009,강원특별자치도,외국인방문자(c),1912.0
202010,강원특별자치도,현지인방문자(a),2.9116073E7
202010,강원특별자치도,외지인방문자(b),1.2680906E7
202010,강원특별자치도,외국인방문자(c),1915.0
202011,강원특별자치도,현지인방문자(a),2.8083486E7
202011,강원특별자치도,외지인방문자(b),9047675.0
202011,강원특별자치도,외국인방문자(c),1896.0
202012,강원특별자치도,현지인방문자(a),2.7380661E7
202012,강원특별자치도,외지인방문자(b),8202562.0
202012,강원특별자치도,외국인방문자(c),1889.0
202001,강원특별자치도,외부방문자(b+c),1.3774432E7
202002,강원특별자치도,외부방문자(b+c),8199811.0
202003,강원특별자치도,외부방문자(b+c),8455829.0
202004,강원특별자치도,외부방문자(b+c),8734485.0
202005,강원특별자치도,외부방문자(b+c),1.1471725E7
202006,강원특별자치도,외부방문자(b+c),1.1481752E7
202007,강원특별자치도,외부방문자(b+c),1.4400182E7
202008,강원특별자치도,외부방문자(b+c),1.5299201E7
202009,강원특별자치도,외부방문자(b+c),9352844.0
202010,강원특별자치도,외부방문자(b+c),1.2682821E7
202011,강원특별자치도,외부방문자(b+c),9049571.0
202012,강원특별자치도,외부방문자(b+c),8204451.0
202001,강원특별자치도,전체방문자(a+b+c),3.9357951E7
202002,강원특별자치도,전체방문자(a+b+c),3.202395E7
202003,강원특별자치도,전체방문자(a+b+c),3.2880334E7
202004,강원특별자치도,전체방문자(a+b+c),3.2635642E7
202005,강원특별자치도,전체방문자(a+b+c),3.7624768E7
202006,강원특별자치도,전체방문자(a+b+c),3.8509032E7
202007,강원특별자치도,전체방문자(a+b+c),4.254371E7
202008,강원특별자치도,전체방문자(a+b+c),4.1573789E7
202009,강원특별자치도,전체방문자(a+b+c),3.6857307E7
202010,강원특별자치도,전체방문자(a+b+c),4.1798894E7
202011,강원특별자치도,전체방문자(a+b+c),3.7133057E7
202012,강원특별자치도,전체방문자(a+b+c),3.5585112E7
