소비구분,시도구분,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
호텔,강원도,3749902,1835721,1789062,1874121,2107797,1975469,3440584,5058850,2403043,2191968,1688348,4034537,4202995,3595300,1882088,1439903,2045605,2504647,3698632,5796390,2433851,3072091,2035391,4003361,5005872,3159286,1156249,1111879,1859139,1946724,2905672,4586952,1708677,2714283,1855800,1372065,1524744,2323553,1424951,1669348,2582887,2652433,4120855,4726656,2700480,3233706,2098018,3323047,4682864,3793231,1531170,1866124,2833256,2985764,4687094,5637572,2788847,3311414,1934681,4059969
호텔,경기도,1297356,1172383,1303599,1406160,1443342,1448388,1649514,1961021,1536957,1557251,1455826,2140566,1524422,1387029,1508751,1315354,1427163,1519458,1385596,1872539,1297862,1498920,1655451,1983022,1333836,835686,594602,700940,1038181,1029605,1200843,1343726,822783,1259157,1147735,771593,604678,712069,983368,1059865,1213850,1214152,1135890,1155748,1029402,1282009,1310064,1335355,1017347,1033836,1151503,1268203,1793806,1524606,1725280,1629152,1522929,1949531,1628508,1834593
호텔,경상남도,729651,511970,691009,774426,970038,761580,820465,1006076,707752,850722,721690,906913,672291,607857,494087,617757,628382,535353,625140,864708,441195,594141,500885,591192,480009,369245,236112,289293,511189,558902,681908,862943,398495,578001,532469,365201,302516,376070,340640,352348,435647,446645,666374,691899,423832,554631,506808,534274,386568,372556,347071,474740,597901,636172,728664,776359,525242,640721,505049,591023
호텔,경상북도,1101103,925107,982856,1266186,1164789,985500,1223903,1857274,1222030,1199655,1116572,1402002,1262026,1210428,1284473,1331359,1387305,1211691,1189995,1716613,999726,1190227,1218889,1250639,1168458,506661,104885,182611,665641,747005,1048578,1964821,703448,1168900,1059603,681063,539404,831977,845266,1044744,1315264,1051589,1578225,2004954,1238417,1605675,1303371,1261128,1248896,1059925,867197,1503091,1702036,1587939,2143531,2490608,1429405,1860565,1570412,1492713
호텔,광주광역시,153337,186719,172627,184957,199849,186956,176821,221407,208747,221583,222005,304311,157408,141198,154488,194730,176360,129332,151031,176680,175010,207627,207161,224821,172483,89734,66835,111024,154383,143734,64562,124166,65406,163873,129359,92845,64638,79563,75263,100725,136207,101562,111524,109161,117495,135553,154689,126736,116959,102303,75517,84979,92110,147845,144630,159095,121571,163999,126412,117649
호텔,대구광역시,991811,887062,894904,923907,1082971,901647,693273,816381,1014387,1181885,1280497,1748655,1202279,1194207,1179207,1288780,1206364,1305081,803478,1077319,1199090,1539425,1760265,2041443,1283284,979385,213967,276907,711513,585052,711936,906237,608247,979235,806579,596316,384245,428754,508891,617933,852088,586158,610403,758649,883616,1445988,1368731,1210214,905443,835338,1007305,1441465,1550842,1453115,1228428,1332838,1296237,1814161,1565502,1986791
호텔,대전광역시,528373,430268,680933,431642,421492,404258,427967,391465,408982,439418,491893,699334,460668,433546,536273,417512,488793,435440,405774,430421,353383,486142,501423,753362,441554,392086,159437,297306,277278,232164,239056,289454,193165,259795,303317,237185,180281,220801,269375,267589,261387,259930,250952,348151,386040,489031,492069,545175,420731,403891,418767,430308,536285,474844,735098,774159,514953,651583,524302,731544
호텔,부산광역시,4950708,4382930,3545125,3828229,4180619,4364141,5146094,5960155,4075094,3784704,3784583,5961734,5022937,5064129,3890619,3969098,4317028,4822977,4824960,5882974,4022243,4058367,4211176,5695144,4856176,3181266,1113655,1612319,3068647,3666727,4435145,5327551,2474894,3511995,3858083,2532394,2541151,3983921,3657283,3884858,4541460,4550456,5315657,4543145,4191837,4884692,4618977,4740721,5167733,4792034,3557442,5008557,5785770,6160445,7258414,7332486,5068968,5904082,4881704,6173054
호텔,서울특별시,21741691,18911120,20212195,19228748,21521910,19646872,20333607,22697855,21472422,22137158,21512994,32460907,24870004,21434664,21980509,20853689,23401915,21300640,20719914,24813778,21025021,22814230,22580004,32582309,25128813,15969766,9426840,10805502,15814427,17247166,18410437,19728577,11875624,17500221,18040744,14862937,13366512,16505952,16815153,17008532,21752814,19239548,15962424,16619634,14978887,19001229,19901852,21791334,23513596,21471011,20121876,23867664,27379331,26307613,28439796,28272134,22448437,26005864,23186592,28855693
호텔,울산광역시,516841,426129,476876,530096,514069,415879,410723,429128,276692,298134,326223,559838,436572,356787,366540,482795,420427,330838,412563,470013,374519,486610,404088,588876,390604,332979,211544,242945,334587,333893,360189,363856,259197,346829,355496,275378,237484,285851,298949,345387,325721,303418,412525,386300,343708,380143,401137,366030,349514,282508,307198,372923,417871,403574,512275,497528,399405,469144,545645,517765
